,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,81,3,226802.0,1,7.0,4,6,3,2,1,0.0,0.0,40.0,38,<=50K
1,94,3,89814.0,11,9.0,2,4,0,4,1,0.0,0.0,50.0,38,<=50K
2,84,1,336951.0,7,12.0,2,10,0,4,1,0.0,0.0,40.0,38,>50K
3,100,3,160323.0,15,10.0,2,6,0,2,1,7688.0,0.0,40.0,38,>50K
4,74,3,103497.0,15,10.0,4,9,3,4,0,0.0,0.0,30.0,38,<=50K
5,90,3,198693.0,0,6.0,4,7,1,4,1,0.0,0.0,30.0,38,<=50K
6,85,3,227026.0,11,9.0,4,9,4,2,1,0.0,0.0,40.0,38,<=50K
7,119,5,104626.0,14,15.0,2,9,0,4,1,3103.0,0.0,32.0,38,>50K
8,80,3,369667.0,15,10.0,4,7,4,4,0,0.0,0.0,40.0,38,<=50K
9,111,3,104996.0,5,4.0,2,2,0,4,1,0.0,0.0,10.0,38,<=50K
10,121,3,184454.0,11,9.0,2,6,0,4,1,6418.0,0.0,40.0,38,>50K
11,92,0,212465.0,9,13.0,2,0,0,4,1,0.0,0.0,40.0,38,<=50K
12,82,3,82091.0,11,9.0,4,0,1,4,0,0.0,0.0,39.0,38,<=50K
13,114,3,299831.0,11,9.0,2,9,0,4,1,0.0,0.0,35.0,38,<=50K
14,104,3,279724.0,11,9.0,2,6,0,4,1,3103.0,0.0,48.0,38,>50K
15,99,3,346189.0,12,14.0,2,3,0,4,1,0.0,0.0,50.0,38,>50K
16,76,6,444554.0,15,10.0,4,7,3,4,1,0.0,0.0,25.0,38,<=50K
17,99,3,128354.0,11,9.0,2,0,5,4,0,0.0,0.0,30.0,38,<=50K
18,93,3,60548.0,11,9.0,6,6,4,4,0,0.0,0.0,20.0,38,<=50K
19,96,3,85019.0,10,16.0,2,9,0,1,1,0.0,0.0,45.0,38,>50K
20,90,3,107914.0,9,13.0,2,12,0,4,1,0.0,0.0,47.0,38,>50K
21,90,3,238588.0,15,10.0,4,7,3,2,0,0.0,0.0,35.0,38,<=50K
22,128,3,132015.0,5,4.0,0,9,1,4,0,0.0,0.0,6.0,38,<=50K
23,81,3,220931.0,9,13.0,4,9,1,4,1,0.0,0.0,43.0,28,<=50K
24,81,3,205947.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,<=50K
25,101,5,432824.0,11,9.0,2,2,0,4,1,7298.0,0.0,90.0,38,>50K
26,78,3,236427.0,11,9.0,4,0,3,4,1,0.0,0.0,20.0,38,<=50K
27,79,3,134446.0,11,9.0,5,6,4,2,1,0.0,0.0,54.0,38,<=50K
28,110,3,99516.0,11,9.0,2,2,0,4,1,0.0,0.0,35.0,38,<=50K
29,88,5,109282.0,15,10.0,4,9,1,4,1,0.0,0.0,60.0,38,<=50K
30,102,6,106444.0,15,10.0,2,3,0,2,1,7688.0,0.0,38.0,38,>50K
31,112,5,186651.0,1,7.0,6,7,4,4,0,0.0,0.0,50.0,38,<=50K
32,80,5,188274.0,9,13.0,4,11,1,4,1,0.0,0.0,50.0,38,<=50K
33,79,1,258120.0,15,10.0,2,10,0,4,1,0.0,0.0,40.0,38,<=50K
34,82,3,43311.0,11,9.0,0,3,4,4,0,0.0,0.0,40.0,38,<=50K
35,121,3,191846.0,11,9.0,2,9,0,4,1,0.0,0.0,40.0,38,<=50K
36,92,1,403681.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,>50K
37,78,3,248446.0,4,3.0,4,8,1,4,1,0.0,0.0,50.0,12,<=50K
38,73,3,269430.0,0,6.0,4,6,1,4,1,0.0,0.0,40.0,38,<=50K
39,76,3,257509.0,11,9.0,4,2,3,4,1,0.0,0.0,40.0,38,<=50K
40,121,3,136384.0,12,14.0,2,9,0,4,1,0.0,0.0,50.0,38,>50K
41,100,4,120277.0,8,11.0,2,11,0,4,1,0.0,0.0,45.0,38,>50K
42,92,3,465326.0,11,9.0,2,4,0,4,1,0.0,0.0,40.0,38,<=50K
43,85,3,103634.0,1,7.0,2,7,0,4,1,0.0,0.0,40.0,38,<=50K
44,76,6,138371.0,15,10.0,4,4,3,4,1,0.0,0.0,32.0,38,<=50K
45,84,3,242832.0,8,11.0,2,9,5,4,0,0.0,0.0,36.0,38,>50K
